zip_code,violations,current_demerits,inspection_demerits,inspection_grade,rating,review_count,alcohol,ambience,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,caters,coat_check,corkage,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,good_for,has_pool_table,waiter_service
89118,15,39,28,B,4,109,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,1,1,0,1,-1,1,0,0,-1,2,-1,-1
89123,49,83,108,A,3.5,124,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,4,1,0,1,1,0,0,0,0,1,1,0,0,1,-1,1,0,0,0,4,-1,0
89145,21,64,53,A,4,505,2,1,1,3,1,0,1,2,1,0,0,0,0,0,1,4,1,1,0,1,0,1,0,1,1,2,1,1,1,0,1,0,1,0,4,-1,-1
89139,80,397,170,A,2.5,205,0,0,1,3,0,0,1,1,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,1,2,0,0,1,-1,1,0,0,0,2,-1,0
89129,50,0,121,A,2.5,131,0,1,1,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,1,0,0,1,1,0,0,1,-1,1,1,0,-1,2,-1,0
89129,50,0,121,A,3,94,0,0,1,3,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,2,0,1,0,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1
89118,93,18,264,B,3,15,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,-1,1,1,0,-1,-1,-1,-1
89101,23,9,46,A,4,188,2,1,1,3,0,0,1,1,0,0,0,1,0,1,1,2,1,1,1,1,0,1,0,1,1,2,0,1,1,1,1,0,0,-1,-1,0,-1
89169,76,75,143,A,2,14,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1,1,-1,0,0,-1,-1,-1,0
89030,33,96,76,B,4,8,0,0,0,3,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,1,1,1,0,0,-1,-1,-1,-1
89122,98,133,210,B,4,496,1,1,1,3,1,0,1,1,1,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,-1,2,-1,1
89141,24,30,49,A,4,151,0,1,1,3,1,0,1,1,0,0,0,1,0,1,1,3,1,0,1,0,0,1,0,0,1,1,0,0,1,-1,1,1,1,-1,3,-1,-1
89146,45,71,76,A,4.5,414,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,1,1,1,-1,1,0,0,0,1,-1,-1
