violations,rating,drive_thru,good_for_kids,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
96,3.0,0,1,1,0,0,0,A
96,3.5,-1,1,1,0,-1,-1,A
83,4.0,-1,1,1,1,0,1,B
78,3.5,-1,1,2,-1,0,-1,B
18,4.0,0,1,1,1,0,1,A
18,4.0,-1,1,0,0,0,1,A
14,3.0,-1,1,1,0,-1,-1,A
37,3.5,-1,-1,-1,-1,-1,-1,B
15,3.5,-1,1,1,0,-1,-1,A
43,4.0,-1,1,0,0,0,-1,A
46,4.0,-1,1,1,0,0,0,A
44,3.0,-1,1,1,1,0,1,B
41,3.5,0,1,1,0,1,-1,A
47,3.0,-1,1,2,-1,-1,-1,B
50,3.0,0,0,1,1,0,-1,B
61,4.0,-1,1,1,1,0,-1,B
